Trip Duration,Start Time,Stop Time,Start Station ID,Start Station Name,Start Station Latitude,Start Station Longitude,End Station ID,End Station Name,End Station Latitude,End Station Longitude,Bike ID,User Type,Birth Year,Gender
362,1/1/2016 0:02,1/1/2016 0:08,3186,Grove St PATH,40.71958611647166,-74.04311746,3209,Brunswick St,40.7241765,-74.0506564,24647,Subscriber,1964,2
200,1/1/2016 0:18,1/1/2016 0:21,3186,Grove St PATH,40.71958611647166,-74.04311746,3213,Van Vorst Park,40.71848892,-74.04772663,24605,Subscriber,1962,1
202,1/1/2016 0:18,1/1/2016 0:21,3186,Grove St PATH,40.71958611647166,-74.04311746,3213,Van Vorst Park,40.71848892,-74.04772663,24689,Subscriber,1962,2
248,1/1/2016 0:23,1/1/2016 0:27,3209,Brunswick St,40.7241765,-74.0506564,3203,Hamilton Park,40.72759597,-74.04424731,24693,Subscriber,1984,1
903,1/1/2016 1:03,1/1/2016 1:18,3195,Sip Ave,40.73074262530658,-74.06378388,3210,Pershing Field,40.74267714,-74.05178863,24573,Customer,3,0
883,1/1/2016 1:03,1/1/2016 1:18,3195,Sip Ave,40.73074262530658,-74.06378388,3210,Pershing Field,40.74267714,-74.05178863,24442,Customer,2,0
445,1/1/2016 1:07,1/1/2016 1:15,3186,Grove St PATH,40.71958611647166,-74.04311746,3203,Hamilton Park,40.72759597,-74.04424731,24510,Subscriber,1988,2
192,1/1/2016 1:18,1/1/2016 1:22,3211,Newark Ave,40.72152515,-74.04630454,3203,Hamilton Park,40.72759597,-74.04424731,24625,Subscriber,1980,1
409,1/1/2016 1:23,1/1/2016 1:30,3187,Warren St,40.7211236,-74.03805095,3214,Essex Light Rail,40.7127742,-74.0364857,24429,Subscriber,1990,1
285,1/1/2016 1:25,1/1/2016 1:29,3187,Warren St,40.7211236,-74.03805095,3214,Essex Light Rail,40.7127742,-74.0364857,24407,Subscriber,1988,2
206,1/1/2016 1:45,1/1/2016 1:49,3183,Exchange Place,40.7162469,-74.0334588,3187,Warren St,40.7211236,-74.03805095,24377,Subscriber,1993,1
251,1/1/2016 2:02,1/1/2016 2:07,3213,Van Vorst Park,40.71848892,-74.04772663,3209,Brunswick St,40.7241765,-74.0506564,24605,Subscriber,1976,1
292,1/1/2016 2:20,1/1/2016 2:25,3186,Grove St PATH,40.71958611647166,-74.04311746,3187,Warren St,40.7211236,-74.03805095,24721,Subscriber,1992,1
175,1/1/2016 2:23,1/1/2016 2:26,3186,Grove St PATH,40.71958611647166,-74.04311746,3213,Van Vorst Park,40.71848892,-74.04772663,24601,Subscriber,1991,1
769,1/1/2016 2:28,1/1/2016 2:41,3193,Lincoln Park,40.7246051,-74.07840595,3211,Newark Ave,40.72152515,-74.04630454,24606,Subscriber,1968,1
384,1/1/2016 2:39,1/1/2016 2:45,3209,Brunswick St,40.7241765,-74.0506564,3213,Van Vorst Park,40.71848892,-74.04772663,24470,Subscriber,1975,2
364,1/1/2016 2:39,1/1/2016 2:45,3209,Brunswick St,40.7241765,-74.0506564,3213,Van Vorst Park,40.71848892,-74.04772663,24542,Subscriber,1976,1
