date,awnd_m/s,prcp_mm,snow_mm,snwd_mm,tavg_degc,tmax_degc,tmin_degc,wdf2_deg,wdf5_deg,wsf2_m/s,wsf5_m/s
2016-01-01,5.7,0.0,0.0,0.0,5.0,6.1,1.1,270,280,11.6,15.7
2016-01-02,4.2,0.0,0.0,0.0,2.2,5.6,-1.1,260,260,9.4,11.2
2016-01-03,4.6,0.0,0.0,0.0,2.8,8.3,-2.2,270,250,10.7,13.4
2016-01-04,7.7,0.0,0.0,0.0,0.0,1.7,-10.0,330,330,11.6,14.8
2016-01-05,4.4,0.0,0.0,0.0,-7.2,-0.6,-12.2,360,350,11.2,13.9
2016-01-06,2.4,0.0,0.0,0.0,-2.2,5.6,-9.4,230,250,5.4,7.2
2016-01-07,1.5,0.0,0.0,0.0,1.7,7.8,-4.4,20,360,4.0,4.5
2016-01-08,3.6,0.0,0.0,0.0,3.3,7.2,-0.6,20,30,6.3,7.2
2016-01-09,3.0,0.3,0.0,0.0,6.7,8.9,3.3,60,70,5.8,7.6
2016-01-10,6.9,45.0,0.0,0.0,11.7,18.3,3.9,260,270,16.1,19.2
2016-01-11,7.3,0.0,0.0,0.0,2.2,3.9,-4.4,270,290,13.9,20.1
2016-01-12,3.9,0.3,0.0,0.0,-0.6,6.7,-5.6,270,240,15.7,19.2
2016-01-13,8.1,0.0,0.0,0.0,-2.8,-0.6,-5.6,270,260,13.9,19.7
2016-01-14,3.6,0.0,0.0,0.0,-2.2,3.9,-5.0,250,250,9.4,11.6
2016-01-15,1.7,0.0,0.0,0.0,3.3,9.4,-1.7,160,160,4.5,6.7
2016-01-16,5.2,6.6,0.0,0.0,8.3,12.8,5.6,280,310,9.8,12.5
2016-01-17,4.2,1.8,17.8,0.0,3.3,5.6,-1.7,320,340,8.1,10.3
2016-01-18,7.7,0.8,12.7,30.5,-2.8,-1.1,-7.8,290,280,13.0,17.0
2016-01-19,8.5,0.0,0.0,0.0,-6.1,-0.6,-8.9,290,280,13.0,17.9
2016-01-20,4.2,0.0,0.0,0.0,-0.6,3.9,-2.8,300,290,9.8,13.9
2016-01-21,6.0,0.0,0.0,0.0,0.0,3.3,-3.3,330,290,10.3,13.9
2016-01-22,4.6,0.8,7.6,0.0,-3.3,-1.1,-6.7,350,330,9.8,13.0
2016-01-23,10.2,46.0,609.6,180.3,-3.3,-2.8,-5.0,10,20,13.9,17.4
2016-01-24,4.2,0.3,5.1,510.5,-3.3,2.2,-8.3,10,360,11.6,13.9
2016-01-25,1.1,0.0,0.0,480.1,-1.7,2.8,-7.8,180,300,3.1,5.8
2016-01-26,2.6,0.0,0.0,429.3,1.7,7.8,-3.9,230,270,6.7,10.7
2016-01-27,4.3,0.3,0.0,360.7,5.6,7.2,0.0,280,270,9.8,13.0
2016-01-28,1.8,0.0,0.0,248.9,1.1,5.6,-4.4,240,240,6.3,8.1
2016-01-29,4.6,0.0,0.0,231.1,2.2,5.0,-1.1,300,290,10.7,15.7
2016-01-30,3.7,0.0,0.0,200.7,0.0,3.9,-3.9,310,300,10.3,13.4
