"month","station_id","no_rides"
3,3197,211
6,390,1
1,3225,173
7,3184,1761
4,3189,37
10,3185,1822
6,3197,459
7,3279,76
8,3184,2132
3,3200,63
5,3193,644
3,3186,3790
8,225,1
4,329,2
1,3185,451
9,3085,1
3,3190,52
12,3196,129
9,3209,1826
7,3187,1911
2,3191,25
8,3271,36
11,3203,2637
9,3271,5
1,3190,46
9,3276,2285
8,3194,1516
11,327,3
8,3270,1328
9,3199,2069
7,514,1
7,3211,1980
2,3189,29
12,304,1
7,3203,2972
4,363,1
4,3186,4314
6,225,3
7,3220,554
12,3225,359
8,3189,106
3,3211,1118
8,3215,481
8,3200,65
4,252,1
9,3191,89
12,3201,177
6,3216,45
4,3191,50
8,3185,2059
12,3189,32
12,3274,3
5,3203,2693
11,3185,1330
5,3188,58
11,3211,1391
4,173,3
12,3273,522
10,3269,74
11,3275,986
6,3220,568
7,3274,5
8,3202,3800
9,3187,2173
9,3194,1562
4,3195,2396
10,3186,8507
7,3183,4328
2,3205,325
3,3193,596
7,3199,2522
11,3216,37
3,3185,877
10,3198,405
9,3272,1388
8,380,1
8,3196,353
1,3194,491
9,3197,352
8,3207,852
6,3191,109
8,3267,2294
1,3189,6
9,3217,94
12,3191,94
8,3216,50
12,3198,107
7,173,1
5,3195,3030
11,3215,257
7,3195,3330
1,3220,159
7,3271,6
3,3213,1180
1,3213,824
2,3209,966
8,3276,1983
9,3270,1473
4,3209,1605
7,3193,719
1,3186,2214
3,3192,653
2,3217,6
10,3210,519
8,3203,3678
12,3194,804
5,3217,53
8,3195,4065
10,446,1
8,3220,656
9,3207,873
1,3191,13
4,3193,635
2,3212,266
7,3002,1
11,3225,517
1,3184,477
6,3187,1746
10,360,1
3,3189,28
6,3207,712
10,3215,337
10,3220,596
5,3220,396
1,3215,83
11,3270,1135
3,3188,66
8,498,3
10,3195,3667
7,3202,3027
1,3209,816
1,3198,74
4,327,2
11,3280,150
10,3274,4
1,3197,56
3,3195,2309
2,249,3
12,3207,488
4,3200,56
5,3189,28
9,3210,601
12,3279,751
10,3214,1817
12,3206,232
7,3190,274
2,3195,1378
3,3183,2020
9,3203,3941
8,173,1
9,3211,2004
1,3187,568
2,3207,282
7,3268,59
3,3184,945
3,3220,292
12,3184,757
8,3213,1788
9,3267,2857
9,3186,9048
9,3188,133
3,3267,1
12,3192,449
6,3192,1918
10,3209,1705
4,3207,421
5,3213,1462
10,3272,1350
1,3217,9
12,3277,37
2,3211,740
5,3183,3407
2,225,1
6,3215,575
5,3215,451
12,3217,11
7,276,2
5,173,4
8,3183,6169
7,3207,725
12,3276,768
3,295,3
2,3213,816
7,3209,1926
8,3186,8908
12,3270,806
7,3273,47
7,3272,295
8,3225,1093
12,3190,107
8,3210,773
7,304,2
8,3199,2453
9,3281,249
5,329,1
5,3199,1711
10,3189,56
12,3278,694
11,520,1
9,3196,334
2,3197,86
4,3206,250
11,3200,23
12,3216,47
1,3200,6
9,3200,48
10,3196,326
10,3267,2314
9,3183,5584
7,3215,428
11,3197,192
3,3198,193
6,3190,240
9,427,1
5,3186,5212
11,3276,1113
11,3273,546
7,3214,2330
7,3275,24
2,3192,423
1,3199,571
4,3199,1452
9,3216,62
4,3215,396
11,3190,117
6,3209,2054
3,3202,1709
10,3225,833
10,3279,1111
6,3202,2961
8,3209,1969
12,3188,74
10,3217,63
12,3220,198
5,3202,2378
11,3183,3379
5,3190,146
9,3184,1994
2,276,2
10,3194,1411
2,3210,319
4,3216,17
11,3192,782
4,358,2
7,3217,87
12,3205,434
11,3196,201
5,3184,1358
2,3206,149
2,3194,630
5,3194,1009
12,3215,186
7,3276,110
8,3169,1
3,3201,301
12,405,1
12,3197,96
10,328,1
4,3205,768
12,3275,689
4,3184,1269
