"day","hour_no","average_no_rides"
"Monday",0,6
"Monday",1,3
"Monday",2,3
"Monday",3,2
"Monday",4,2
"Monday",5,8
"Monday",6,22
"Monday",7,54
"Monday",8,90
"Monday",9,43
"Monday",10,23
"Monday",11,22
"Monday",12,24
"Monday",13,26
"Monday",14,26
"Monday",15,26
"Monday",16,34
"Monday",17,72
"Monday",18,81
"Monday",19,59
"Monday",20,37
"Monday",21,27
"Monday",22,16
"Monday",23,9
"Tuesday",0,5
"Tuesday",1,2
"Tuesday",2,2
"Tuesday",3,2
"Tuesday",4,2
"Tuesday",5,8
"Tuesday",6,27
"Tuesday",7,63
"Tuesday",8,109
"Tuesday",9,48
"Tuesday",10,23
"Tuesday",11,17
"Tuesday",12,23
"Tuesday",13,24
"Tuesday",14,22
"Tuesday",15,22
"Tuesday",16,35
"Tuesday",17,74
"Tuesday",18,89
"Tuesday",19,64
"Tuesday",20,44
"Tuesday",21,30
"Tuesday",22,18
"Tuesday",23,10
"Wednesday",0,6
"Wednesday",1,3
"Wednesday",2,2
"Wednesday",3,2
"Wednesday",4,2
"Wednesday",5,8
"Wednesday",6,27
"Wednesday",7,69
"Wednesday",8,119
"Wednesday",9,51
"Wednesday",10,25
"Wednesday",11,20
"Wednesday",12,23
"Wednesday",13,23
"Wednesday",14,21
"Wednesday",15,23
"Wednesday",16,34
"Wednesday",17,72
"Wednesday",18,88
"Wednesday",19,62
"Wednesday",20,46
"Wednesday",21,29
"Wednesday",22,20
"Wednesday",23,10
"Thursday",0,6
"Thursday",1,3
"Thursday",2,3
"Thursday",3,2
"Thursday",4,2
"Thursday",5,8
"Thursday",6,24
"Thursday",7,64
"Thursday",8,112
"Thursday",9,50
"Thursday",10,24
"Thursday",11,18
"Thursday",12,24
"Thursday",13,23
"Thursday",14,22
"Thursday",15,24
"Thursday",16,33
"Thursday",17,68
"Thursday",18,83
"Thursday",19,61
"Thursday",20,44
"Thursday",21,32
"Thursday",22,22
"Thursday",23,12
"Friday",0,7
"Friday",1,4
"Friday",2,3
"Friday",3,2
"Friday",4,2
"Friday",5,7
"Friday",6,22
"Friday",7,56
"Friday",8,96
"Friday",9,46
"Friday",10,23
"Friday",11,21
"Friday",12,24
"Friday",13,28
"Friday",14,26
"Friday",15,28
"Friday",16,41
"Friday",17,65
"Friday",18,63
"Friday",19,47
"Friday",20,35
"Friday",21,25
"Friday",22,20
"Friday",23,14
"Saturday",0,10
"Saturday",1,6
"Saturday",2,4
"Saturday",3,3
"Saturday",4,2
"Saturday",5,3
"Saturday",6,6
"Saturday",7,12
"Saturday",8,23
"Saturday",9,28
"Saturday",10,35
"Saturday",11,40
"Saturday",12,42
"Saturday",13,39
"Saturday",14,42
"Saturday",15,40
"Saturday",16,36
"Saturday",17,36
"Saturday",18,32
"Saturday",19,29
"Saturday",20,24
"Saturday",21,18
"Saturday",22,16
"Saturday",23,13
"Sunday",0,10
"Sunday",1,7
"Sunday",2,5
"Sunday",3,3
"Sunday",4,2
"Sunday",5,3
"Sunday",6,4
"Sunday",7,9
"Sunday",8,15
"Sunday",9,22
"Sunday",10,31
"Sunday",11,39
"Sunday",12,40
"Sunday",13,42
"Sunday",14,44
"Sunday",15,42
"Sunday",16,41
"Sunday",17,39
"Sunday",18,37
"Sunday",19,32
"Sunday",20,25
"Sunday",21,18
"Sunday",22,14
"Sunday",23,9
