"month","day","hour_no","average_no_rides"
1,"Monday",0,2
1,"Monday",1,2
1,"Monday",2,1
1,"Monday",3,1
1,"Monday",4,1
1,"Monday",5,5
1,"Monday",6,9
1,"Monday",7,22
1,"Monday",8,46
1,"Monday",9,15
1,"Monday",10,10
1,"Monday",11,7
1,"Monday",12,7
1,"Monday",13,10
1,"Monday",14,12
1,"Monday",15,10
1,"Monday",16,11
1,"Monday",17,21
1,"Monday",18,26
1,"Monday",19,18
1,"Monday",20,13
1,"Monday",21,9
1,"Monday",22,5
1,"Monday",23,3
1,"Tuesday",0,2
1,"Tuesday",1,1
1,"Tuesday",4,1
1,"Tuesday",5,4
1,"Tuesday",6,10
1,"Tuesday",7,27
1,"Tuesday",8,56
1,"Tuesday",9,19
1,"Tuesday",10,10
1,"Tuesday",11,5
1,"Tuesday",12,7
1,"Tuesday",13,8
1,"Tuesday",14,10
1,"Tuesday",15,9
1,"Tuesday",16,12
1,"Tuesday",17,24
1,"Tuesday",18,36
1,"Tuesday",19,30
1,"Tuesday",20,17
1,"Tuesday",21,8
1,"Tuesday",22,8
1,"Tuesday",23,3
1,"Wednesday",0,2
1,"Wednesday",1,1
1,"Wednesday",2,2
1,"Wednesday",4,1
1,"Wednesday",5,2
1,"Wednesday",6,10
1,"Wednesday",7,26
1,"Wednesday",8,51
1,"Wednesday",9,20
1,"Wednesday",10,13
1,"Wednesday",11,6
1,"Wednesday",12,7
1,"Wednesday",13,9
1,"Wednesday",14,6
1,"Wednesday",15,9
1,"Wednesday",16,10
1,"Wednesday",17,23
1,"Wednesday",18,37
1,"Wednesday",19,25
1,"Wednesday",20,19
1,"Wednesday",21,11
1,"Wednesday",22,6
1,"Wednesday",23,4
1,"Thursday",0,2
1,"Thursday",1,2
1,"Thursday",2,1
1,"Thursday",4,1
1,"Thursday",5,3
1,"Thursday",6,10
1,"Thursday",7,26
1,"Thursday",8,59
1,"Thursday",9,22
1,"Thursday",10,11
1,"Thursday",11,7
1,"Thursday",12,10
1,"Thursday",13,12
1,"Thursday",14,11
1,"Thursday",15,10
1,"Thursday",16,13
1,"Thursday",17,28
1,"Thursday",18,39
1,"Thursday",19,30
1,"Thursday",20,17
1,"Thursday",21,13
1,"Thursday",22,8
1,"Thursday",23,4
1,"Friday",0,4
1,"Friday",1,3
1,"Friday",2,9
1,"Friday",3,8
1,"Friday",4,3
1,"Friday",5,2
1,"Friday",6,9
1,"Friday",7,24
1,"Friday",8,45
1,"Friday",9,23
1,"Friday",10,11
1,"Friday",11,11
1,"Friday",12,10
1,"Friday",13,13
1,"Friday",14,14
1,"Friday",15,12
1,"Friday",16,15
1,"Friday",17,28
1,"Friday",18,27
1,"Friday",19,18
1,"Friday",20,14
1,"Friday",21,7
1,"Friday",22,5
1,"Friday",23,7
1,"Saturday",0,4
1,"Saturday",1,3
1,"Saturday",2,2
1,"Saturday",3,2
1,"Saturday",4,1
1,"Saturday",5,2
1,"Saturday",6,3
1,"Saturday",7,5
1,"Saturday",8,9
1,"Saturday",9,11
1,"Saturday",10,15
1,"Saturday",11,17
1,"Saturday",12,18
1,"Saturday",13,22
1,"Saturday",14,18
1,"Saturday",15,22
1,"Saturday",16,15
1,"Saturday",17,14
1,"Saturday",18,16
1,"Saturday",19,12
1,"Saturday",20,10
1,"Saturday",21,8
1,"Saturday",22,8
1,"Saturday",23,5
1,"Sunday",0,5
1,"Sunday",1,3
1,"Sunday",2,1
1,"Sunday",3,2
1,"Sunday",4,2
1,"Sunday",5,1
1,"Sunday",7,3
1,"Sunday",8,6
1,"Sunday",9,7
1,"Sunday",10,9
1,"Sunday",11,16
1,"Sunday",12,20
1,"Sunday",13,18
1,"Sunday",14,26
1,"Sunday",15,16
1,"Sunday",16,16
1,"Sunday",17,15
1,"Sunday",18,13
1,"Sunday",19,12
1,"Sunday",20,8
1,"Sunday",21,6
1,"Sunday",22,7
1,"Sunday",23,4
2,"Monday",0,2
2,"Monday",1,2
2,"Monday",2,1
2,"Monday",3,1
2,"Monday",4,1
2,"Monday",5,3
2,"Monday",6,10
2,"Monday",7,31
2,"Monday",8,50
2,"Monday",9,19
2,"Monday",10,13
2,"Monday",11,10
2,"Monday",12,11
2,"Monday",13,12
2,"Monday",14,11
2,"Monday",15,12
2,"Monday",16,13
2,"Monday",17,25
2,"Monday",18,36
2,"Monday",19,25
2,"Monday",20,16
2,"Monday",21,10
2,"Monday",22,7
2,"Monday",23,2
2,"Tuesday",0,3
2,"Tuesday",1,1
2,"Tuesday",3,1
2,"Tuesday",4,2
2,"Tuesday",5,2
2,"Tuesday",6,11
2,"Tuesday",7,30
2,"Tuesday",8,58
2,"Tuesday",9,25
2,"Tuesday",10,10
2,"Tuesday",11,9
2,"Tuesday",12,9
2,"Tuesday",13,7
2,"Tuesday",14,8
2,"Tuesday",15,7
2,"Tuesday",16,14
2,"Tuesday",17,25
2,"Tuesday",18,32
2,"Tuesday",19,26
2,"Tuesday",20,15
2,"Tuesday",21,10
2,"Tuesday",22,6
2,"Tuesday",23,3
2,"Wednesday",0,2
2,"Wednesday",1,1
2,"Wednesday",3,1
2,"Wednesday",5,3
2,"Wednesday",6,12
2,"Wednesday",7,29
2,"Wednesday",8,48
2,"Wednesday",9,18
2,"Wednesday",10,12
2,"Wednesday",11,5
2,"Wednesday",12,7
2,"Wednesday",13,6
2,"Wednesday",14,7
2,"Wednesday",15,4
2,"Wednesday",16,10
2,"Wednesday",17,24
2,"Wednesday",18,35
2,"Wednesday",19,17
2,"Wednesday",20,16
2,"Wednesday",21,12
2,"Wednesday",22,6
2,"Wednesday",23,3
2,"Thursday",0,1
2,"Thursday",1,2
2,"Thursday",2,2
2,"Thursday",3,1
2,"Thursday",4,1
2,"Thursday",5,4
2,"Thursday",6,10
2,"Thursday",7,34
2,"Thursday",8,64
2,"Thursday",9,23
2,"Thursday",10,13
2,"Thursday",11,9
2,"Thursday",12,10
2,"Thursday",13,10
2,"Thursday",14,8
2,"Thursday",15,9
2,"Thursday",16,13
2,"Thursday",17,27
2,"Thursday",18,38
2,"Thursday",19,22
2,"Thursday",20,19
2,"Thursday",21,10
2,"Thursday",22,9
2,"Thursday",23,5
2,"Friday",0,3
2,"Friday",1,2
2,"Friday",3,1
2,"Friday",4,2
2,"Friday",5,2
2,"Friday",6,7
2,"Friday",7,20
2,"Friday",8,43
2,"Friday",9,19
2,"Friday",10,9
2,"Friday",11,7
2,"Friday",12,9
2,"Friday",13,10
2,"Friday",14,10
2,"Friday",15,10
2,"Friday",16,17
2,"Friday",17,26
2,"Friday",18,27
2,"Friday",19,24
2,"Friday",20,14
2,"Friday",21,8
2,"Friday",22,9
2,"Friday",23,5
2,"Saturday",0,4
2,"Saturday",1,3
2,"Saturday",2,4
2,"Saturday",3,1
2,"Saturday",5,4
2,"Saturday",6,5
2,"Saturday",7,3
2,"Saturday",8,10
