"bike_id","first_operation","last_operation","no_rides","sum_distance"
24613,"2016-01-01","2016-12-30",968,998.1
24497,"2016-01-02","2016-12-31",925,975.6
24572,"2016-01-08","2016-12-30",902,940.0
24412,"2016-01-03","2016-12-22",863,949.5
24445,"2016-01-02","2016-12-31",862,887.7
24561,"2016-01-14","2016-12-31",861,915.4
24590,"2016-01-02","2016-12-31",858,946.4
24446,"2016-01-03","2016-12-31",851,902.9
24474,"2016-01-06","2016-12-30",848,903.5
24678,"2016-01-01","2016-12-30",836,870.9
24560,"2016-01-12","2016-12-30",833,883.5
24441,"2016-01-02","2016-12-31",816,878.1
24688,"2016-01-10","2016-12-28",807,906.4
24663,"2016-03-18","2016-12-30",806,883.4
24484,"2016-01-01","2016-12-31",806,821.6
24700,"2016-01-03","2016-12-19",806,818.8
24625,"2016-01-01","2016-11-22",797,839.0
24634,"2016-01-02","2016-12-22",796,802.7
24644,"2016-01-01","2016-11-28",794,882.1
24389,"2016-01-01","2016-12-31",794,844.1
24551,"2016-01-01","2016-12-31",793,905.1
24624,"2016-01-03","2016-12-31",792,831.9
24723,"2016-01-01","2016-12-30",791,828.5
24495,"2016-01-01","2016-12-29",788,810.3
24414,"2016-01-02","2016-12-28",786,886.4
24616,"2016-01-02","2016-12-23",785,804.0
24500,"2016-02-26","2016-12-31",782,824.5
24662,"2016-01-01","2016-12-31",782,836.6
24574,"2016-01-02","2016-12-28",782,828.3
24701,"2016-01-01","2016-12-28",779,840.2
24724,"2016-01-03","2016-11-29",778,849.3
24437,"2016-01-03","2016-11-18",776,806.8
24544,"2016-01-02","2016-11-30",772,845.8
24670,"2016-01-03","2016-12-20",771,813.4
24447,"2016-01-13","2016-12-12",770,828.2
24426,"2016-01-01","2016-12-31",767,821.7
24633,"2016-01-02","2016-12-30",765,798.6
24498,"2016-01-04","2016-12-31",764,774.5
24405,"2016-01-01","2016-12-31",763,838.7
24568,"2016-03-20","2016-12-30",762,817.3
24516,"2016-01-01","2016-12-31",761,836.2
24687,"2016-01-01","2016-12-31",760,819.4
24530,"2016-01-03","2016-12-31",759,768.5
24429,"2016-01-01","2016-12-14",759,798.2
24667,"2016-01-05","2016-11-22",757,805.5
24550,"2016-01-08","2016-12-30",754,756.8
24664,"2016-01-01","2016-12-01",753,780.0
24563,"2016-01-01","2016-12-30",753,796.8
24511,"2016-01-03","2016-12-30",752,779.1
24552,"2016-01-04","2016-12-31",750,818.0
24433,"2016-01-02","2016-12-20",748,796.7
24684,"2016-01-06","2016-12-29",748,748.6
24631,"2016-01-01","2016-12-31",745,833.5
24719,"2016-01-01","2016-12-30",742,802.1
24392,"2016-01-08","2016-12-30",742,765.5
24448,"2016-01-02","2016-12-30",739,780.8
24403,"2016-01-12","2016-11-29",738,799.0
24669,"2016-01-01","2016-12-30",737,806.1
24418,"2016-02-02","2016-12-31",737,776.0
24377,"2016-01-01","2016-12-21",736,761.0
24641,"2016-01-06","2016-12-31",734,800.3
24400,"2016-03-09","2016-12-13",732,786.4
24645,"2016-01-01","2016-12-15",731,771.6
24504,"2016-02-16","2016-12-31",730,767.5
24523,"2016-03-18","2016-12-15",729,806.3
24702,"2016-01-03","2016-11-26",729,782.0
24479,"2016-01-02","2016-11-01",728,771.2
24650,"2016-03-10","2016-12-31",727,742.2
24456,"2016-01-02","2016-11-14",726,804.7
24421,"2016-01-02","2016-12-31",725,794.0
24397,"2016-01-01","2016-11-22",723,783.5
24558,"2016-01-01","2016-12-31",722,744.1
24467,"2016-01-02","2016-12-01",721,801.5
24442,"2016-01-01","2016-12-31",721,793.7
24722,"2016-03-18","2016-12-31",718,777.0
24416,"2016-01-03","2016-12-28",717,767.6
24517,"2016-01-10","2016-12-31",717,775.9
24435,"2016-01-03","2016-11-23",716,820.1
24401,"2016-02-23","2016-12-13",715,726.7
24647,"2016-01-01","2016-12-31",715,732.5
24721,"2016-01-01","2016-12-31",714,767.2
24603,"2016-03-20","2016-12-31",713,748.0
24465,"2016-03-21","2016-12-31",712,744.4
24388,"2016-01-01","2016-12-30",710,806.5
24481,"2016-01-03","2016-12-31",710,784.2
24524,"2016-03-19","2016-12-31",710,724.7
24599,"2016-01-01","2016-12-16",709,742.1
24455,"2016-01-16","2016-11-23",709,783.1
24452,"2016-01-02","2016-12-31",707,784.2
24476,"2016-01-01","2016-12-29",707,781.6
24675,"2016-01-01","2016-12-31",706,752.7
24496,"2016-01-03","2016-12-20",702,792.0
24520,"2016-01-02","2016-12-27",700,775.0
24626,"2016-04-08","2016-12-26",700,724.5
24559,"2016-01-02","2016-11-22",700,718.1
24526,"2016-01-01","2016-12-19",698,749.1
24462,"2016-01-03","2016-12-31",696,719.7
24596,"2016-03-10","2016-12-08",694,725.1
24409,"2016-01-01","2016-12-31",694,724.6
24673,"2016-03-15","2016-12-13",687,713.8
24466,"2016-01-01","2016-12-30",687,689.7
24653,"2016-01-01","2016-12-29",685,742.7
24469,"2016-03-23","2016-12-31",684,746.4
24627,"2016-01-01","2016-12-31",682,716.6
24512,"2016-02-07","2016-12-31",679,713.1
24536,"2016-01-01","2016-12-31",676,683.7
24710,"2016-03-18","2016-12-31",676,756.8
24587,"2016-01-01","2016-11-14",675,709.4
24630,"2016-01-11","2016-11-11",675,703.1
24472,"2016-01-02","2016-12-08",675,669.5
24612,"2016-01-02","2016-12-31",675,733.6
24407,"2016-01-01","2016-11-27",674,710.3
24571,"2016-01-05","2016-12-30",672,738.9
24671,"2016-01-06","2016-12-23",672,687.0
24515,"2016-03-10","2016-12-31",671,709.4
24501,"2016-01-02","2016-11-30",669,711.9
24583,"2016-01-05","2016-12-20",669,717.8
24649,"2016-02-06","2016-11-02",666,693.0
24692,"2016-03-13","2016-12-31",663,696.1
24525,"2016-03-10","2016-12-31",662,701.8
24395,"2016-03-11","2016-11-23",661,669.4
24638,"2016-02-14","2016-12-31",660,748.4
24503,"2016-03-12","2016-12-21",660,703.9
24535,"2016-01-05","2016-12-31",659,722.1
24614,"2016-03-19","2016-11-30",659,756.7
24470,"2016-01-01","2016-11-27",658,691.6
24661,"2016-01-04","2016-12-29",657,685.5
24475,"2016-03-18","2016-11-06",655,703.0
24459,"2016-03-18","2016-11-17",653,725.1
24419,"2016-01-15","2016-12-13",653,674.0
24589,"2016-01-03","2016-12-31",652,725.1
24575,"2016-01-02","2016-12-31",648,699.8
24680,"2016-02-07","2016-12-30",647,715.2
24629,"2016-01-01","2016-12-29",647,697.7
24492,"2016-03-18","2016-12-31",646,676.0
24622,"2016-01-03","2016-12-31",646,676.6
24458,"2016-01-03","2016-12-27",645,726.3
24600,"2016-01-02","2016-12-31",645,658.2
24698,"2016-01-06","2016-12-20",643,741.1
24604,"2016-01-02","2016-12-30",643,654.8
24494,"2016-01-03","2016-12-31",642,707.5
24390,"2016-01-02","2016-12-29",642,673.1
24415,"2016-01-03","2016-09-21",642,701.6
24712,"2016-03-22","2016-12-31",642,667.7
24491,"2016-03-19","2016-12-31",641,682.5
24660,"2016-01-06","2016-12-06",640,690.3
24488,"2016-01-02","2016-12-30",640,718.6
24606,"2016-01-01","2016-12-23",640,671.2
24443,"2016-02-15","2016-12-30",637,709.2
24711,"2016-01-07","2016-11-23",637,699.9
24541,"2016-01-06","2016-12-22",635,656.3
24581,"2016-01-02","2016-11-28",635,684.8
24487,"2016-01-03","2016-12-30",634,694.7
24420,"2016-03-24","2016-12-28",632,721.9
24668,"2016-01-06","2016-12-30",632,631.0
24569,"2016-03-11","2016-12-21",630,684.2
24450,"2016-01-01","2016-12-28",630,737.3
24672,"2016-01-15","2016-12-06",629,653.2
24584,"2016-01-02","2016-12-30",625,692.9
24485,"2016-03-28","2016-12-28",624,723.2
24608,"2016-01-02","2016-11-23",622,631.5
24386,"2016-01-05","2016-11-29",621,629.7
24486,"2016-03-10","2016-12-31",618,680.7
24531,"2016-01-01","2016-11-23",618,685.8
24659,"2016-02-08","2016-11-19",615,645.0
24654,"2016-01-01","2016-10-31",614,633.4
24621,"2016-01-07","2016-11-12",614,694.0
24457,"2016-01-05","2016-12-31",613,676.8
24453,"2016-01-08","2016-12-30",612,656.9
24432,"2016-01-10","2016-11-17",612,646.5
24643,"2016-02-14","2016-12-29",611,669.4
24658,"2016-01-01","2016-12-14",611,682.5
24703,"2016-01-03","2016-11-23",610,631.0
24548,"2016-01-08","2016-11-23",609,615.8
24632,"2016-03-22","2016-12-28",606,663.4
24618,"2016-01-03","2016-11-11",606,643.0
24533,"2016-03-10","2016-12-30",605,691.3
24562,"2016-03-29","2016-11-17",604,628.9
24406,"2016-01-02","2016-12-31",603,593.2
24449,"2016-01-01","2016-12-11",603,642.1
24514,"2016-01-01","2016-12-22",603,634.4
