"station_id","no_rides"
3186,66987
3183,41127
3195,32999
3203,30706
3202,26846
3214,19336
3209,18016
3199,17924
3211,17517
3187,16535
3213,16234
3185,15782
3184,15625
3192,13429
3194,12723
3267,11262
3205,9492
3225,8199
3276,8071
3207,7103
3193,7057
3270,6479
3210,6436
3272,6288
3278,6105
3275,5334
3220,4972
3279,4918
3201,4570
3212,4260
3206,4182
3215,4099
3198,3427
3196,3194
3273,3190
3197,3104
3190,1780
3268,1675
3269,1637
3191,1012
3188,1002
3281,979
3189,613
3217,597
3200,477
3216,429
3280,329
3271,118
3277,60
3274,57
327,11
173,10
3426,6
225,6
3002,5
514,5
276,4
358,4
498,3
295,3
304,3
249,3
403,3
329,3
3331,3
405,3
347,2
457,2
376,2
363,2
380,1
477,1
484,1
501,1
505,1
520,1
534,1
2004,1
2008,1
3085,1
3169,1
3178,1
446,1
430,1
428,1
427,1
426,1
401,1
393,1
147,1
390,1
386,1
360,1
359,1
351,1
328,1
315,1
3265,1
284,1
252,1
224,1
3314,1
